GenBank_accession	GISAID_isolate_ID	Sequence_ID	Organism	country	host	isolate	collection-date	isolation-source	serotype	strain	subclade
ON716315	EPI_ISL_13295170	f6T241D4_PB2	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716293	EPI_ISL_13295170	f6T241D4_PB1	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716335	EPI_ISL_13295170	f6T241D4_PA	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716362	EPI_ISL_13295170	f6T241D4_NS	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716375	EPI_ISL_13295170	f6T241D4_NP	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716392	EPI_ISL_13295170	f6T241D4_N8	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716426	EPI_ISL_13295170	f6T241D4_MP	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716431	EPI_ISL_13295170	f6T241D4_HA	Influenza A virus	Cambodia	Duck	f6T241D4	16/11/2021	Tracheal swab	H5N8	A/duck/Cambodia/f6T241D4/2021(H5N8)	2.3.4.4b
ON716314	EPI_ISL_13295169	f4K241D4_PB2	Influenza A virus	Cambodia	Duck	f4K241D4	15/10/2021	Tracheal swab	H5N8	A/duck/Cambodia/f4K241D4/2021(H5N8)	2.3.4.4b
ON716292	EPI_ISL_13295169	f4K241D4_PB1	Influenza A virus	Cambodia	Duck	f4K241D4	15/10/2021	Tracheal swab	H5N8	A/duck/Cambodia/f4K241D4/2021(H5N8)	2.3.4.4b
ON716334	EPI_ISL_13295169	f4K241D4_PA	Influenza A virus	Cambodia	Duck	f4K241D4	15/10/2021	Tracheal swab	H5N8	A/duck/Cambodia/f4K241D4/2021(H5N8)	2.3.4.4b
