market,lat,long,date,subtype,clade
Oreusey,11.5643,104.9165,2020-Apr-11,H5N8,2.3.4.4b
Chba Ampov,11.534,104.9359,2021-Sep-16,H5N8,2.3.4.4b
Takmao,11.49084386,104.9455606,2021-Oct-15,H5N8,2.3.4.4b
Takmao,11.49084386,104.9455606,2021-Oct-15,H5N8,2.3.4.4b
Takeo,10.9809,104.7788,2021-Nov-16,H5N8,2.3.4.4b
Takeo,10.9809,104.7788,2019-Jan-29,H5N6,2.3.4.4h
Chhouk,10.835,104.456,2018-Dec-13,H5N6,2.3.4.4h
Sammaki,10.643,104.171,2018-Dec-13,H5N6,2.3.4.4h
Sammaki,10.643,104.171,2018-Dec-13,H5N6,2.3.4.4h
Takeo,10.9809,104.7788,2020-Sep-12,H5N6,2.3.4.4h
Oreusey,11.5643,104.9165,2020-Jun-13,H5N6,2.3.4.4g
Oreusey,11.5643,104.9165,2020-Jun-13,H5N6,2.3.4.4g
Oreusey,11.5643,104.9165,2020-Jun-13,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
Takeo,10.9809,104.7788,2020-Aug-21,H5N6,2.3.4.4g
